Date,Open,High,Low,Close,Adj Close,Volume
2017-09-19,33.833015,33.833015,33.538898,33.633778,28.939215,16539579
2017-09-20,34.089184,34.354839,33.975330,34.146111,29.380041,27066825
2017-09-21,34.212524,34.335861,34.070210,34.127136,29.363714,16580579
2017-09-22,34.250473,34.269451,33.937382,34.117645,29.355543,15394092
2017-09-25,34.060722,34.184059,33.624287,33.690701,28.988192,23379828
2017-09-26,33.690701,33.823528,33.434536,33.491463,28.816765,18508029
2017-09-27,33.444023,33.709679,33.387096,33.633778,28.939215,15502759
2017-09-28,33.462997,33.946869,33.415562,33.776093,29.061666,19038086
2017-09-29,33.814041,33.870968,33.538898,33.870968,29.143297,16867900
2017-10-02,33.842506,34.250473,33.671726,34.222012,29.445349,17541300
2017-10-03,34.174572,34.345352,33.918407,34.288425,29.502489,14328392
2017-10-04,34.326378,34.383301,34.060722,34.117645,29.355543,11435268
2017-10-05,34.041744,34.155598,33.918407,34.155598,29.388203,14340408
2017-10-06,34.146111,34.288425,34.098671,34.203037,29.429022,12711345
2017-10-09,34.212524,34.297913,34.089184,34.288425,29.502489,10278081
2017-10-10,34.516129,34.639469,34.184059,34.535103,29.714731,18697433
2017-10-11,34.506641,34.611008,34.345352,34.582542,29.755556,18163687
2017-10-12,34.611008,34.724857,34.421253,34.487667,29.673916,14750098
2017-10-13,34.506641,34.620495,34.392788,34.478176,29.665754,13458842
2017-10-16,34.487667,34.611008,34.041744,34.136623,29.371874,14315006
2017-10-17,34.089184,34.468693,33.918407,34.345352,29.551474,14776764
2017-10-18,34.392788,34.430740,33.956356,33.994308,29.249420,15196572
2017-10-19,34.051231,34.516129,34.003796,34.383301,29.584124,20858028
2017-10-20,34.440228,34.554081,34.184059,34.554081,29.731075,18447319
2017-10-23,34.440228,34.895638,34.440228,34.535103,29.714731,15978008
